p diff est_diff error1 size est_size error2
9973 10027 10027.07 0.000728% 99989972 99989971.93 -0.000000%
9967 10032 10032.10 0.001028% 99979940 99979939.82 -0.000000%
9949 10049 10049.25 0.002439% 99969891 99969890.58 -0.000000%
9941 10056 10056.32 0.003196% 99959835 99959834.26 -0.000001%
9931 10065 10065.43 0.004321% 99949770 99949768.82 -0.000001%
9929 10066 10066.45 0.004457% 99939704 99939702.37 -0.000002%
9923 10071 10071.52 0.005173% 99929633 99929630.85 -0.000002%
9907 10086 10086.77 0.007635% 99919547 99919544.08 -0.000003%
9901 10091 10091.86 0.008561% 99909456 99909452.22 -0.000004%
9887 10105 10105.13 0.001318% 99899351 99899347.09 -0.000004%
9883 10108 10108.20 0.001985% 99889243 99889238.89 -0.000004%
9871 10119 10119.46 0.004595% 99879124 99879119.42 -0.000005%
9859 10131 10130.76 -0.002412% 99868993 99868988.66 -0.000004%
9857 10132 10131.78 -0.002138% 99858861 99858856.88 -0.000004%
9851 10137 10136.93 -0.000731% 99848724 99848719.96 -0.000004%
9839 10148 10148.26 0.002552% 99838576 99838571.70 -0.000004%
9833 10153 10153.42 0.004130% 99828423 99828418.28 -0.000005%
9829 10156 10156.52 0.005103% 99818267 99818261.76 -0.000005%
9817 10168 10167.90 -0.000996% 99808099 99808093.86 -0.000005%
9811 10173 10173.08 0.000792% 99797926 99797920.78 -0.000005%
9803 10180 10180.34 0.003388% 99787746 99787740.43 -0.000006%
9791 10192 10191.78 -0.002136% 99777554 99777548.65 -0.000005%
9787 10195 10194.91 -0.000918% 99767359 99767353.75 -0.000005%
9781 10200 10200.12 0.001156% 99757159 99757153.63 -0.000005%
9769 10212 10211.60 -0.003884% 99746947 99746942.02 -0.000005%
9767 10213 10212.65 -0.003438% 99736734 99736729.38 -0.000005%
9749 10231 10230.46 -0.005303% 99726503 99726498.92 -0.000004%
9743 10236 10235.71 -0.002857% 99716267 99716263.21 -0.000004%
9739 10239 10238.86 -0.001362% 99706028 99706024.35 -0.000004%
9733 10245 10244.12 -0.008585% 99695783 99695780.23 -0.000003%
9721 10257 10255.71 -0.012553% 99685526 99685524.52 -0.000001%
9719 10258 10256.77 -0.012014% 99675268 99675267.75 -0.000000%
9697 10280 10278.98 -0.009923% 99664988 99664988.77 0.000001%
9689 10287 10286.41 -0.005773% 99654701 99654702.36 0.000001%
9679 10297 10295.97 -0.009994% 99644404 99644406.39 0.000002%
9677 10298 10297.03 -0.009372% 99634106 99634109.36 0.000003%
9661 10314 10313.02 -0.009478% 99623792 99623796.34 0.000004%
9649 10326 10324.78 -0.011821% 99613466 99613471.56 0.000006%
9643 10332 10330.13 -0.018071% 99603134 99603141.42 0.000007%
9631 10344 10341.93 -0.019998% 99592790 99592799.49 0.000010%
9629 10345 10343.01 -0.019280% 99582445 99582456.49 0.000012%
9623 10350 10348.38 -0.015656% 99572095 99572108.11 0.000013%
9619 10354 10351.61 -0.023111% 99561741 99561756.50 0.000016%
9613 10359 10356.99 -0.019392% 99551382 99551399.51 0.000018%
9601 10371 10368.86 -0.020660% 99541011 99541030.65 0.000020%
9587 10385 10382.92 -0.020052% 99530626 99530647.73 0.000022%
9551 10424 10420.97 -0.029104% 99520202 99520226.77 0.000025%
9547 10427 10424.24 -0.026462% 99509775 99509802.53 0.000028%
9539 10435 10431.89 -0.029800% 99499340 99499370.64 0.000031%
9533 10440 10437.36 -0.025270% 99488900 99488933.27 0.000033%
9521 10453 10449.42 -0.034243% 99478447 99478483.85 0.000037%
9511 10463 10459.31 -0.035281% 99467984 99468024.55 0.000041%
9497 10477 10473.63 -0.032205% 99457507 99457550.92 0.000044%
9491 10483 10479.14 -0.036788% 99447024 99447071.78 0.000048%
9479 10495 10491.30 -0.035216% 99436529 99436580.47 0.000052%
9473 10501 10496.84 -0.039600% 99426028 99426083.63 0.000056%
9467 10507 10502.39 -0.043918% 99415521 99415581.24 0.000061%
9463 10510 10505.72 -0.040770% 99405011 99405075.53 0.000065%
9461 10511 10506.83 -0.039716% 99394500 99394568.70 0.000069%
9439 10535 10530.20 -0.045551% 99383965 99384038.50 0.000074%
9437 10536 10531.32 -0.044448% 99373429 99373507.19 0.000079%
9433 10540 10534.67 -0.050604% 99362889 99362972.52 0.000084%
9431 10541 10535.78 -0.049489% 99352348 99352436.74 0.000089%
9421 10551 10545.85 -0.048827% 99341797 99341890.89 0.000095%
9419 10552 10546.97 -0.047688% 99331245 99331343.92 0.000100%
9413 10558 10552.57 -0.051428% 99320687 99320791.35 0.000105%
9403 10568 10562.67 -0.050430% 99310119 99310228.68 0.000110%
9397 10574 10568.29 -0.053993% 99299545 99299660.39 0.000116%
9391 10580 10573.92 -0.057489% 99288965 99289086.47 0.000122%
9377 10595 10588.58 -0.060623% 99278370 99278497.89 0.000129%
9371 10601 10594.23 -0.063894% 99267769 99267903.67 0.000136%
9349 10625 10618.02 -0.065659% 99257144 99257285.64 0.000143%
9343 10631 10623.71 -0.068610% 99246513 99246661.94 0.000150%
9341 10632 10624.84 -0.067312% 99235881 99236037.09 0.000157%
9337 10636 10628.26 -0.072798% 99225245 99225408.84 0.000165%
9323 10651 10643.08 -0.074385% 99214594 99214765.76 0.000173%
9319 10654 10646.50 -0.070364% 99203940 99204119.26 0.000181%
9311 10662 10654.51 -0.070273% 99193278 99193464.75 0.000188%
9293 10682 10674.00 -0.074910% 99182596 99182790.75 0.000196%
9283 10693 10684.35 -0.080925% 99171903 99172106.40 0.000205%
9281 10694 10685.50 -0.079503% 99161209 99161420.91 0.000214%
9277 10698 10688.95 -0.084563% 99150511 99150731.95 0.000223%
9257 10720 10710.89 -0.084958% 99139791 99140021.06 0.000232%
9241 10738 10728.28 -0.090534% 99129053 99129292.78 0.000242%
9239 10739 10729.44 -0.089025% 99118314 99118563.34 0.000252%
9227 10752 10742.23 -0.090860% 99107562 99107821.11 0.000261%
9221 10758 10748.06 -0.092437% 99096804 99097073.06 0.000272%
9209 10771 10760.89 -0.093826% 99086033 99086312.16 0.000282%
9203 10778 10766.74 -0.104468% 99075255 99075545.42 0.000293%
9199 10781 10770.25 -0.099697% 99064474 99064775.17 0.000304%
9187 10794 10783.15 -0.100543% 99053680 99053992.02 0.000315%
9181 10801 10789.02 -0.110916% 99042879 99043203.00 0.000327%
9173 10809 10797.25 -0.108677% 99032070 99032405.75 0.000339%
9161 10822 10810.22 -0.108872% 99021248 99021595.53 0.000351%
9157 10826 10813.76 -0.113066% 99010422 99010781.77 0.000363%
9151 10832 10819.67 -0.113848% 98999590 98999962.10 0.000376%
9137 10848 10835.06 -0.119266% 98988742 98989127.04 0.000389%
9133 10852 10838.62 -0.123285% 98977890 98978288.42 0.000403%
9127 10858 10844.56 -0.123790% 98967032 98967443.86 0.000416%
9109 10879 10864.80 -0.130546% 98956153 98956579.06 0.000431%
9103 10885 10870.77 -0.130771% 98945268 98945708.30 0.000445%
9091 10898 10883.92 -0.129207% 98934370 98934824.38 0.000459%
