p diff est_diff error1 size est_size error2
9067 10927 10911.53 -0.141594% 98923443 98923912.85 0.000475%
9059 10935 10919.96 -0.137545% 98912508 98912992.89 0.000490%
9049 10946 10930.82 -0.138678% 98901562 98902062.07 0.000506%
9043 10953 10936.86 -0.147319% 98890609 98891125.21 0.000522%
9041 10954 10938.07 -0.145392% 98879655 98880187.13 0.000538%
9029 10968 10951.40 -0.151353% 98868687 98869235.73 0.000555%
9013 10987 10969.63 -0.158136% 98857700 98858266.11 0.000573%
9011 10988 10970.84 -0.156143% 98846712 98847295.27 0.000590%
9007 10992 10974.50 -0.159233% 98835720 98836320.77 0.000608%
9001 10998 10980.59 -0.158271% 98824722 98825340.17 0.000626%
8999 11000 10981.81 -0.165331% 98813722 98814358.36 0.000644%
8971 11034 11014.87 -0.173414% 98802688 98803343.50 0.000663%
8969 11035 11016.09 -0.171331% 98791653 98792327.40 0.000683%
8963 11041 11022.24 -0.169922% 98780612 98781305.16 0.000702%
8951 11055 11035.78 -0.173819% 98769557 98770269.38 0.000721%
8941 11067 11046.89 -0.181685% 98758490 98759222.49 0.000742%
8933 11076 11055.55 -0.184639% 98747414 98748166.94 0.000762%
8929 11080 11059.26 -0.187149% 98736334 98737107.67 0.000784%
8923 11086 11065.46 -0.185271% 98725248 98726042.21 0.000804%
8893 11123 11101.55 -0.192886% 98714125 98714940.67 0.000826%
8887 11130 11107.79 -0.199540% 98702995 98703832.88 0.000849%
8867 11154 11131.59 -0.200890% 98691841 98692701.28 0.000872%
8863 11158 11135.36 -0.202898% 98680683 98681565.92 0.000895%
8861 11160 11136.62 -0.209522% 98669523 98670429.30 0.000919%
8849 11174 11150.46 -0.210659% 98658349 98659278.84 0.000942%
8839 11186 11161.81 -0.216212% 98647163 98648117.03 0.000967%
8837 11188 11163.08 -0.222760% 98635975 98636953.95 0.000992%
8831 11194 11169.40 -0.219778% 98624781 98625784.55 0.001018%
8821 11206 11180.79 -0.224932% 98613575 98614603.76 0.001043%
8819 11208 11182.06 -0.231425% 98602367 98603421.70 0.001070%
8807 11222 11196.03 -0.231435% 98591145 98592225.67 0.001096%
8803 11226 11199.84 -0.232996% 98579919 98581025.83 0.001123%
8783 11251 11224.07 -0.239337% 98568668 98569801.75 0.001150%
8779 11255 11227.91 -0.240713% 98557413 98558573.85 0.001178%
8761 11278 11249.69 -0.250979% 98546135 98547324.15 0.001207%
8753 11287 11258.69 -0.250809% 98534848 98536065.46 0.001236%
8747 11294 11265.13 -0.255649% 98523554 98524800.33 0.001265%
8741 11301 11271.57 -0.260412% 98512253 98513528.76 0.001295%
8737 11305 11275.44 -0.261468% 98500948 98502253.32 0.001325%
8731 11312 11281.90 -0.266105% 98489636 98490971.42 0.001356%
8719 11327 11296.13 -0.272521% 98478309 98479675.29 0.001387%
8713 11334 11302.61 -0.276920% 98466975 98468372.68 0.001419%
8707 11341 11309.10 -0.281241% 98455634 98457063.57 0.001452%
8699 11350 11318.20 -0.280134% 98444284 98445745.37 0.001484%
8693 11357 11324.71 -0.284276% 98432927 98434420.65 0.001517%
8689 11361 11328.62 -0.284968% 98421566 98423092.03 0.001551%
8681 11371 11337.76 -0.292325% 98410195 98411754.27 0.001584%
8677 11375 11341.68 -0.292926% 98398820 98400412.59 0.001619%
8669 11385 11350.84 -0.300064% 98387435 98389061.75 0.001653%
8663 11392 11357.39 -0.303818% 98376043 98377704.36 0.001689%
8647 11412 11377.09 -0.305899% 98364631 98366327.27 0.001724%
8641 11419 11383.67 -0.309361% 98353212 98354943.60 0.001761%
8629 11434 11398.19 -0.313227% 98341778 98343545.41 0.001797%
8627 11436 11399.51 -0.319108% 98330342 98332145.90 0.001835%
8623 11440 11403.47 -0.319294% 98318902 98320742.43 0.001872%
8609 11458 11420.69 -0.325601% 98307444 98309321.74 0.001910%
8599 11471 11432.65 -0.334357% 98295973 98297889.09 0.001949%
8597 11472 11433.98 -0.331453% 98284501 98286455.12 0.001988%
8581 11493 11453.96 -0.339660% 98273008 98275001.15 0.002028%
8573 11503 11463.32 -0.344995% 98261505 98263537.84 0.002069%
8563 11516 11475.36 -0.352870% 98249989 98252062.48 0.002110%
8543 11542 11500.89 -0.356219% 98238447 98240561.59 0.002153%
8539 11546 11504.93 -0.355744% 98226901 98229056.67 0.002195%
8537 11548 11506.27 -0.361331% 98215353 98217550.39 0.002237%
8527 11561 11518.42 -0.368324% 98203792 98206031.97 0.002281%
8521 11568 11525.18 -0.370186% 98192224 98194506.80 0.002325%
8513 11578 11534.65 -0.374385% 98180646 98182972.14 0.002369%
8501 11594 11549.58 -0.383137% 98169052 98171422.56 0.002415%
8467 11640 11594.59 -0.390091% 98157412 98159827.97 0.002461%
8461 11647 11601.45 -0.391129% 98145765 98148226.53 0.002508%
8447 11666 11619.30 -0.400309% 98134099 98136607.23 0.002556%
8443 11671 11623.43 -0.407604% 98122428 98124983.80 0.002605%
8431 11686 11638.59 -0.405667% 98110742 98113345.20 0.002653%
8429 11688 11639.97 -0.410896% 98099054 98101705.23 0.002703%
8423 11696 11646.88 -0.419937% 98087358 98090058.34 0.002753%
8419 11700 11651.03 -0.418510% 98075658 98078407.31 0.002803%
8389 11742 11691.31 -0.431690% 98063916 98066716.00 0.002855%
8387 11744 11692.70 -0.436777% 98052172 98055023.29 0.002908%
8377 11757 11705.27 -0.440017% 98040415 98043318.03 0.002961%
8369 11767 11715.06 -0.441423% 98028648 98031602.97 0.003014%
8363 11775 11722.06 -0.449581% 98016873 98019880.91 0.003069%
8353 11788 11734.69 -0.452224% 98005085 98008146.22 0.003124%
8329 11822 11767.10 -0.464419% 97993263 97996379.12 0.003180%
8317 11838 11782.66 -0.467482% 97981425 97984596.46 0.003237%
8311 11846 11789.75 -0.474860% 97969579 97972806.71 0.003295%
8297 11865 11808.22 -0.478545% 97957714 97960998.49 0.003353%
8293 11870 11812.49 -0.484480% 97945844 97949186.00 0.003412%
8291 11872 11813.92 -0.489243% 97933972 97937372.08 0.003472%
8287 11877 11818.19 -0.495127% 97922095 97925553.89 0.003532%
8273 11896 11836.76 -0.497943% 97910199 97913717.12 0.003593%
8269 11901 11841.06 -0.503663% 97898298 97901876.06 0.003655%
8263 11909 11848.22 -0.510336% 97886389 97890027.84 0.003717%
8243 11937 11875.53 -0.514919% 97874452 97878152.31 0.003781%
8237 11945 11882.74 -0.521199% 97862507 97866269.56 0.003845%
8233 11950 11887.07 -0.526588% 97850557 97854382.49 0.003910%
8231 11952 11888.52 -0.531151% 97838605 97842493.97 0.003975%
8221 11965 11901.53 -0.530448% 97826640 97830592.44 0.004040%
8219 11967 11902.98 -0.534971% 97814673 97818689.46 0.004106%
8209 11981 11916.03 -0.542276% 97802692 97806773.43 0.004173%
8191 12007 11940.76 -0.551670% 97790685 97794832.67 0.004241%
8179 12024 11956.82 -0.558714% 97778661 97782875.85 0.004311%
8171 12035 11967.06 -0.564491% 97766626 97770908.79 0.004381%
8167 12040 11971.46 -0.569274% 97754586 97758937.33 0.004451%
8161 12048 11978.79 -0.574420% 97742538 97746958.53 0.004523%
8147 12068 11997.91 -0.580807% 97730470 97734960.63 0.004595%
8123 12103 12031.88 -0.587624% 97718367 97722928.75 0.004668%
8117 12111 12039.29 -0.592094% 97706256 97710889.45 0.004742%
8111 12119 12046.71 -0.596476% 97694137 97698842.74 0.004817%
8101 12134 12060.10 -0.609060% 97682003 97686782.64 0.004893%
8093 12145 12070.53 -0.613191% 97669858 97674712.12 0.004970%
8089 12150 12075.00 -0.617246% 97657708 97662637.11 0.005047%
8087 12152 12076.50 -0.621316% 97645556 97650560.61 0.005125%
8081 12160 12083.97 -0.625248% 97633396 97638476.64 0.005204%
8069 12178 12100.44 -0.636859% 97621218 97626376.20 0.005284%
8059 12192 12113.96 -0.640120% 97609026 97614262.24 0.005365%
8053 12200 12121.48 -0.643623% 97596826 97602140.77 0.005446%
8039 12221 12141.08 -0.653958% 97584605 97589999.69 0.005528%
8017 12254 12172.88 -0.661967% 97572351 97577826.80 0.005612%
8011 12262 12180.48 -0.664817% 97560089 97565646.32 0.005696%
8009 12264 12182.00 -0.668615% 97547825 97553464.32 0.005781%
7993 12288 12204.86 -0.676576% 97535537 97541259.46 0.005867%
7963 12335 12249.31 -0.694686% 97523202 97529010.15 0.005956%
7951 12353 12266.26 -0.702201% 97510849 97516743.89 0.006045%
7949 12355 12267.80 -0.705785% 97498494 97504476.09 0.006136%
7937 12373 12284.80 -0.712824% 97486121 97492191.29 0.006227%
7933 12378 12289.45 -0.715398% 97473743 97479901.84 0.006318%
7927 12387 12297.20 -0.724956% 97461356 97467604.64 0.006411%
7919 12398 12308.07 -0.725361% 97448958 97455296.57 0.006505%
7907 12417 12325.19 -0.739370% 97436541 97442971.38 0.006600%
7901 12425 12332.99 -0.740505% 97424116 97430638.39 0.006695%
7883 12453 12359.59 -0.750110% 97411663 97418278.80 0.006792%
7879 12458 12364.29 -0.752169% 97399205 97405914.50 0.006889%
7877 12461 12365.86 -0.763466% 97386744 97393548.64 0.006987%
7873 12466 12370.58 -0.765470% 97374278 97381178.06 0.007086%
7867 12475 12378.44 -0.774038% 97361803 97368799.62 0.007186%
7853 12496 12398.93 -0.776806% 97349307 97356400.69 0.007287%
7841 12515 12416.32 -0.788458% 97336792 97343984.37 0.007389%
7829 12534 12433.77 -0.799666% 97324258 97331550.60 0.007493%
7823 12542 12441.72 -0.799579% 97311716 97319108.88 0.007597%
7817 12551 12449.67 -0.807307% 97299165 97306659.21 0.007702%
7793 12590 12486.42 -0.822729% 97286575 97294172.79 0.007810%
7789 12595 12491.23 -0.823916% 97273980 97281681.56 0.007917%
7759 12644 12537.91 -0.839015% 97261336 97269143.65 0.008027%
7757 12646 12539.53 -0.841917% 97248690 97256604.12 0.008138%
7753 12652 12544.38 -0.850590% 97236038 97244059.73 0.008250%
7741 12671 12562.21 -0.858583% 97223367 97231497.52 0.008363%
7727 12693 12583.34 -0.863911% 97210674 97218914.18 0.008477%
7723 12699 12588.23 -0.872259% 97197975 97206325.95 0.008592%
7717 12708 12596.39 -0.878282% 97185267 97193729.56 0.008708%
7703 12730 12617.65 -0.882590% 97172537 97181111.91 0.008824%
7699 12736 12622.56 -0.890681% 97159801 97168489.35 0.008942%
7691 12749 12634.05 -0.901628% 97147052 97155855.30 0.009062%
7687 12754 12638.98 -0.901818% 97134298 97143216.32 0.009181%
7681 12764 12647.21 -0.914999% 97121534 97130569.11 0.009303%
7673 12776 12658.75 -0.917756% 97108758 97117910.36 0.009425%
7669 12782 12663.70 -0.925525% 97095976 97105246.66 0.009548%
7649 12815 12695.16 -0.935187% 97083161 97092551.51 0.009673%
7643 12824 12703.46 -0.939949% 97070337 97079848.04 0.009798%
7639 12830 12708.45 -0.947390% 97057507 97067139.59 0.009925%
7621 12860 12736.80 -0.958023% 97044647 97054402.80 0.010053%
7607 12883 12758.56 -0.965886% 97031764 97041644.23 0.010182%
7603 12889 12763.60 -0.972929% 97018875 97028880.63 0.010313%
7591 12909 12782.09 -0.983076% 97005966 97016098.54 0.010445%
7589 12911 12783.78 -0.985369% 96993055 97003314.76 0.010578%
7583 12921 12792.21 -0.996763% 96980134 96990522.55 0.010712%
7577 12930 12800.65 -1.000389% 96967204 96977721.90 0.010847%
7573 12936 12805.72 -1.007108% 96954268 96964916.18 0.010983%
7561 12956 12824.35 -1.016126% 96941312 96952091.83 0.011120%
7559 12959 12826.05 -1.025948% 96928353 96939265.78 0.011259%
7549 12975 12841.34 -1.030145% 96915378 96926424.44 0.011398%
7547 12978 12843.04 -1.039912% 96902400 96913581.40 0.011539%
7541 12987 12851.56 -1.042922% 96889413 96900729.85 0.011680%
7537 12993 12856.67 -1.049249% 96876420 96887873.18 0.011822%
7529 13006 12868.62 -1.056248% 96863414 96875004.55 0.011966%
7523 13016 12877.18 -1.066555% 96850398 96862127.37 0.012111%
7517 13026 12885.74 -1.076749% 96837372 96849241.63 0.012257%
7507 13042 12901.19 -1.079657% 96824330 96836340.44 0.012404%
7499 13056 12913.23 -1.093491% 96811274 96823427.21 0.012554%
7489 13072 12928.75 -1.095835% 96798202 96810498.45 0.012703%
7487 13075 12930.48 -1.105321% 96785127 96797567.98 0.012854%
7481 13085 12939.12 -1.114853% 96772042 96784628.85 0.013007%
7477 13091 12944.31 -1.120517% 96758951 96771684.54 0.013160%
7459 13122 12973.81 -1.129288% 96745829 96758710.73 0.013315%
7457 13125 12975.55 -1.138632% 96732704 96745735.17 0.013471%
7451 13135 12984.26 -1.147607% 96719569 96732750.91 0.013629%
7433 13166 13013.96 -1.154807% 96706403 96719736.95 0.013788%
7417 13194 13040.28 -1.165095% 96693209 96706696.67 0.013949%
7411 13204 13049.08 -1.173317% 96680005 96693647.60 0.014111%
7393 13236 13079.08 -1.185545% 96666769 96680568.52 0.014275%
7369 13279 13119.90 -1.198106% 96653490 96667448.61 0.014442%
7351 13311 13150.24 -1.207688% 96640179 96654298.37 0.014610%
7349 13314 13152.03 -1.216508% 96626865 96641146.34 0.014780%
7333 13342 13178.94 -1.222177% 96613523 96627967.40 0.014951%
7331 13345 13180.73 -1.230911% 96600178 96614786.66 0.015123%
7321 13363 13196.94 -1.242696% 96586815 96601589.73 0.015297%
7309 13384 13216.80 -1.249254% 96573431 96588372.93 0.015472%
7307 13387 13218.61 -1.257873% 96560044 96575154.32 0.015649%
7297 13405 13234.91 -1.268838% 96546639 96561919.40 0.015827%
7283 13430 13258.54 -1.276722% 96533209 96548660.87 0.016007%
7253 13486 13311.55 -1.293575% 96519723 96535349.32 0.016190%
7247 13496 13320.73 -1.298662% 96506227 96522028.59 0.016374%
7243 13503 13326.25 -1.308969% 96492724 96508702.34 0.016559%
7237 13513 13335.46 -1.313868% 96479211 96495366.88 0.016745%
7229 13528 13348.37 -1.327838% 96465683 96482018.51 0.016934%
7219 13546 13365.01 -1.336102% 96452137 96468653.50 0.017124%
7213 13556 13374.28 -1.340542% 96438581 96455279.22 0.017315%
7211 13559 13376.13 -1.348692% 96425022 96441903.09 0.017507%
7207 13566 13381.70 -1.358552% 96411456 96428521.39 0.017701%
7193 13592 13405.88 -1.369308% 96397864 96415115.51 0.017896%
7187 13603 13415.21 -1.380503% 96384261 96401700.30 0.018094%
7177 13621 13432.03 -1.387322% 96370640 96388268.27 0.018292%
7159 13655 13463.93 -1.399274% 96356985 96374804.34 0.018493%
7151 13670 13477.11 -1.411056% 96343315 96361327.23 0.018696%
7129 13712 13516.81 -1.423509% 96329603 96347810.42 0.018901%
7127 13715 13518.70 -1.431243% 96315888 96334291.71 0.019108%
7121 13725 13528.20 -1.433901% 96302163 96320763.52 0.019315%
7109 13748 13549.13 -1.446539% 96288415 96307214.39 0.019524%
7103 13759 13558.67 -1.456011% 96274656 96293655.72 0.019735%
7079 13806 13602.72 -1.472402% 96260850 96280053.00 0.019949%
7069 13825 13620.04 -1.482542% 96247025 96266432.96 0.020165%
7057 13846 13641.27 -1.478632% 96233179 96252791.69 0.020380%
7043 13872 13666.45 -1.481778% 96219307 96239125.25 0.020597%
7039 13877 13672.27 -1.475302% 96205430 96225452.97 0.020813%
7027 13898 13693.67 -1.470177% 96191532 96211759.30 0.021028%
7019 13912 13707.33 -1.471166% 96177620 96198051.97 0.021244%
7013 13920 13717.10 -1.457585% 96163700 96184334.86 0.021458%
7001 13942 13738.66 -1.458495% 96149758 96170596.21 0.021673%
6997 13948 13744.55 -1.458653% 96135810 96156851.66 0.021887%
6991 13958 13754.38 -1.458824% 96121852 96143097.28 0.022102%
6983 13971 13768.17 -1.451828% 96107881 96129329.12 0.022317%
6977 13981 13778.03 -1.451742% 96093900 96115551.08 0.022531%
6971 13992 13787.91 -1.458588% 96079908 96101763.17 0.022747%
6967 13998 13793.85 -1.458412% 96065910 96087969.32 0.022963%
6961 14007 13803.76 -1.450993% 96051903 96074165.56 0.023178%
6959 14009 13805.74 -1.450903% 96037894 96060359.82 0.023393%
6949 14026 13823.62 -1.442867% 96023868 96046536.19 0.023607%
6947 14028 13825.61 -1.442733% 96009840 96032710.58 0.023821%
6917 14085 13883.58 -1.430045% 95995755 96018827.00 0.024034%
6911 14094 13893.62 -1.421720% 95981661 96004933.38 0.024247%
6907 14100 13899.66 -1.420870% 95967561 95991033.72 0.024459%
6899 14112 13913.76 -1.404758% 95953449 95977119.96 0.024669%
6883 14143 13944.08 -1.406473% 95939306 95963175.88 0.024880%
6871 14166 13966.41 -1.408965% 95925140 95949209.47 0.025092%
6869 14169 13968.44 -1.415490% 95910971 95935241.03 0.025305%
6863 14178 13978.62 -1.406292% 95896793 95921262.42 0.025516%
6857 14189 13988.81 -1.410890% 95882604 95907273.61 0.025729%
6841 14219 14019.48 -1.403182% 95868385 95893254.13 0.025941%
6833 14233 14033.84 -1.399257% 95854152 95879220.28 0.026153%
6829 14239 14040.01 -1.397508% 95839913 95865180.27 0.026364%
6827 14241 14042.07 -1.396915% 95825672 95851138.21 0.026576%
6823 14248 14048.24 -1.402025% 95811424 95837089.97 0.026788%
6803 14286 14087.47 -1.389650% 95797138 95823002.49 0.026999%
6793 14305 14106.14 -1.390150% 95782833 95808896.36 0.027211%
6791 14307 14108.22 -1.389416% 95768526 95794788.14 0.027423%
6781 14326 14126.94 -1.389493% 95754200 95780661.20 0.027635%
6779 14328 14129.03 -1.388714% 95739872 95766532.17 0.027846%
6763 14360 14160.36 -1.390233% 95725512 95752371.81 0.028059%
6761 14362 14162.46 -1.389382% 95711150 95738209.35 0.028272%
6737 14411 14210.81 -1.389165% 95696739 95723998.55 0.028485%
6733 14418 14217.14 -1.393125% 95682321 95709781.41 0.028700%
6719 14446 14244.65 -1.393834% 95667875 95695536.76 0.028914%
6709 14465 14263.76 -1.391250% 95653410 95681273.00 0.029129%
6703 14474 14274.40 -1.379056% 95638936 95666998.61 0.029342%
6701 14477 14276.53 -1.384778% 95624459 95652722.08 0.029556%
6691 14497 14295.73 -1.388364% 95609962 95638426.35 0.029771%
6689 14499 14297.87 -1.387226% 95595463 95624128.49 0.029986%
6679 14518 14317.13 -1.383575% 95580945 95609811.36 0.030201%
6673 14527 14327.86 -1.370825% 95566418 95595483.50 0.030414%
6661 14551 14351.52 -1.370893% 95551867 95581131.97 0.030627%
6659 14553 14353.68 -1.369638% 95537314 95566778.30 0.030841%
6653 14564 14364.46 -1.370064% 95522750 95552413.83 0.031054%
6637 14596 14396.93 -1.363878% 95508154 95538016.90 0.031267%
6619 14631 14433.90 -1.347106% 95493523 95523583.00 0.031479%
6607 14654 14457.94 -1.337956% 95478869 95509125.06 0.031689%
6599 14669 14473.27 -1.334294% 95464200 95494651.79 0.031899%
6581 14705 14510.66 -1.321593% 95449495 95480141.13 0.032107%
6577 14712 14517.28 -1.323555% 95434783 95465623.85 0.032316%
6571 14722 14528.33 -1.315548% 95420061 95451095.53 0.032524%
6569 14725 14530.54 -1.320634% 95405336 95436564.99 0.032733%
6563 14736 14541.61 -1.319173% 95390600 95422023.38 0.032942%
6553 14757 14561.58 -1.324264% 95375843 95407461.81 0.033152%
6551 14759 14563.80 -1.322575% 95361084 95392898.01 0.033362%
6547 14767 14570.47 -1.330841% 95346317 95378327.53 0.033573%
6529 14804 14608.41 -1.321178% 95331513 95363719.12 0.033783%
6521 14821 14624.09 -1.328559% 95316692 95349095.02 0.033995%
6491 14883 14689.43 -1.300606% 95301809 95334405.59 0.034204%
6481 14904 14709.83 -1.302807% 95286905 95319695.76 0.034413%
6473 14919 14725.74 -1.295415% 95271986 95304970.03 0.034621%
6469 14926 14732.57 -1.295953% 95257060 95290237.46 0.034829%
6451 14966 14771.39 -1.300347% 95242094 95275466.07 0.035039%
6449 14968 14773.68 -1.298232% 95227126 95260692.39 0.035249%
6427 15017 14821.95 -1.298841% 95212109 95245870.44 0.035459%
6421 15029 14833.49 -1.300853% 95197080 95231036.94 0.035670%
6397 15084 14886.83 -1.307162% 95181996 95216150.11 0.035883%
6389 15099 14903.14 -1.297184% 95166897 95201246.98 0.036094%
6379 15121 14924.16 -1.301734% 95151776 95186322.81 0.036307%
6373 15133 14935.87 -1.302626% 95136643 95171386.94 0.036520%
6367 15145 14947.60 -1.303382% 95121498 95156439.33 0.036733%
6361 15157 14959.35 -1.304003% 95106341 95141479.98 0.036947%
6359 15160 14961.70 -1.308017% 95091181 95126518.28 0.037161%
6353 15172 14973.48 -1.308463% 95076009 95111544.80 0.037376%
6343 15192 14994.73 -1.298541% 95060817 95096550.07 0.037590%
6337 15204 15006.56 -1.298627% 95045613 95081543.51 0.037803%
6329 15222 15023.15 -1.306305% 95030391 95066520.36 0.038019%
6323 15233 15035.03 -1.299586% 95015158 95051485.33 0.038233%
6317 15246 15046.93 -1.305690% 94999912 95036438.39 0.038449%
6311 15258 15058.86 -1.305180% 94984654 95021379.54 0.038665%
6301 15279 15080.36 -1.300053% 94969375 95006299.17 0.038880%
