p diff est_diff error1 size est_size error2
1013 107544 112074.90 4.213064% 56774116 56653860.80 -0.211813%
1009 107674 112297.05 4.293560% 56666442 56541563.75 -0.220374%
997 108658 113423.40 4.385685% 56557784 56428140.36 -0.229223%
991 109172 113881.21 4.313571% 56448612 56314259.15 -0.238009%
983 109744 114576.32 4.403262% 56338868 56199682.83 -0.247050%
977 110382 115045.41 4.224792% 56228486 56084637.42 -0.255829%
971 110768 115519.34 4.289448% 56117718 55969118.08 -0.264800%
967 110756 115758.26 4.516467% 56006962 55853359.83 -0.274256%
953 112098 117215.87 4.565528% 55894864 55736143.96 -0.283962%
947 112396 117710.97 4.728789% 55782468 55618432.99 -0.294062%
941 113068 118211.33 4.548886% 55669400 55500221.66 -0.303898%
937 113088 118463.65 4.753514% 55556312 55381758.00 -0.314193%
929 113964 119228.76 4.619667% 55442348 55262529.24 -0.324335%
919 114692 120266.66 4.860546% 55327656 55142262.59 -0.335083%
911 115452 121058.75 4.856351% 55212204 55021203.83 -0.345938%
907 115732 121325.70 4.833320% 55096472 54899878.14 -0.356818%
887 118220 123787.77 4.709672% 54978252 54776090.36 -0.367712%
883 118144 124068.15 5.014351% 54860108 54652022.21 -0.379303%
881 117866 124068.15 5.262039% 54742242 54527954.05 -0.391449%
877 118212 124351.09 5.193290% 54624030 54403602.96 -0.403535%
863 119988 126080.19 5.077335% 54504042 54277522.77 -0.415601%
859 120310 126373.74 5.040099% 54383732 54151149.02 -0.427670%
857 120294 126373.74 5.054070% 54263438 54024775.28 -0.439822%
853 120392 126670.05 5.214672% 54143046 53898105.23 -0.452396%
839 121968 128481.78 5.340562% 54021078 53769623.46 -0.465475%
829 123200 129721.65 5.293546% 53897878 53639901.81 -0.478639%
827 123058 129721.65 5.415047% 53774820 53510180.16 -0.492126%
823 123216 130036.89 5.535718% 53651604 53380143.27 -0.505969%
821 122924 130036.89 5.786413% 53528680 53250106.38 -0.520419%
811 124468 131319.62 5.504725% 53404212 53118786.76 -0.534462%
809 124218 131319.62 5.717063% 53279994 52987467.14 -0.549037%
797 125516 132967.30 5.936530% 53154478 52854499.84 -0.564352%
787 126896 134318.93 5.849619% 53027582 52720180.91 -0.579700%
773 128720 136404.09 5.969616% 52898862 52583776.82 -0.595637%
769 129188 136758.85 5.860333% 52769674 52447017.97 -0.611442%
761 130156 137837.10 5.901460% 52639518 52309180.87 -0.627546%
757 130410 138201.27 5.974442% 52509108 52170979.60 -0.643942%
751 130908 138937.36 6.133592% 52378200 52032042.23 -0.660881%
743 131714 140059.33 6.335950% 52246486 51891982.90 -0.678520%
739 132222 140438.38 6.214082% 52114264 51751544.52 -0.696008%
733 133092 141204.76 6.095603% 51981172 51610339.76 -0.713397%
727 133578 141981.68 6.291214% 51847594 51468358.08 -0.731444%
719 134580 143166.50 6.380223% 51713014 51325191.58 -0.749951%
709 135868 144781.92 6.560723% 51577146 51180409.65 -0.769210%
701 136758 146021.14 6.773381% 51440388 51034388.51 -0.789262%
691 138332 147711.69 6.780563% 51302056 50886676.82 -0.809674%
683 139760 149009.30 6.617990% 51162296 50737667.52 -0.829964%
677 140314 149889.71 6.824488% 51021982 50587777.81 -0.851014%
673 140806 150335.15 6.767573% 50881176 50437442.66 -0.872097%
661 142704 152609.51 6.941297% 50738472 50284833.15 -0.894073%
659 142630 152609.51 6.996781% 50595842 50132223.64 -0.916317%
653 143560 153544.33 6.954813% 50452282 49978679.31 -0.938714%
647 144280 154493.60 7.079012% 50308002 49824185.71 -0.961708%
643 144622 154974.14 7.158067% 50163380 49669211.57 -0.985118%
641 144592 154974.14 7.180300% 50018788 49514237.44 -1.008722%
631 145940 156938.95 7.536622% 49872848 49357298.49 -1.033728%
619 148708 159474.31 7.239899% 49724140 49197824.18 -1.058471%
617 148166 159474.31 7.632189% 49575974 49038349.87 -1.084445%
613 148482 159994.62 7.753543% 49427492 48878355.26 -1.110995%
607 149408 161048.95 7.791381% 49278084 48717306.31 -1.137986%
601 150640 162120.82 7.621362% 49127444 48555185.49 -1.164845%
599 150424 162120.82 7.775900% 48977020 48393064.67 -1.192305%
593 151008 163214.38 8.083269% 48826012 48229850.29 -1.220992%
587 152296 164326.58 7.899470% 48673716 48065523.71 -1.249529%
577 153908 166604.93 8.249691% 48519808 47898918.78 -1.279661%
571 154850 167772.04 8.344879% 48364958 47731146.73 -1.310476%
569 154636 167772.04 8.494817% 48210322 47563374.69 -1.341927%
563 155820 168964.03 8.435394% 48054502 47394410.65 -1.373631%
557 156630 170177.42 8.649312% 47897872 47224233.24 -1.406406%
547 158542 172666.30 8.908870% 47739330 47051566.94 -1.440663%
541 159764 173942.95 8.874932% 47579566 46877623.99 -1.475301%
523 164516 179264.34 8.964682% 47415050 46698359.65 -1.511525%
521 164624 179264.34 8.893197% 47250426 46519095.32 -1.547776%
509 167592 182786.23 9.066202% 47082834 46336309.09 -1.585556%
503 168384 184239.80 9.416451% 46914450 46152069.29 -1.625045%
499 169488 184978.23 9.139428% 46744962 45967091.06 -1.664074%
491 171230 187238.66 9.349215% 46573732 45779852.40 -1.704565%
487 171644 188007.61 9.533457% 46402088 45591844.79 -1.746135%
479 173284 190362.61 9.855849% 46228804 45401482.18 -1.789624%
467 177002 194438.90 9.851242% 46051802 45207043.29 -1.834366%
463 177616 195278.80 9.944377% 45874186 45011764.48 -1.879971%
461 177194 195278.80 10.206217% 45696992 44816485.68 -1.926837%
457 177892 196133.42 10.254208% 45519100 44620352.26 -1.974441%
449 180150 198754.35 10.327146% 45338950 44421597.91 -2.023320%
443 181436 200548.97 10.534279% 45157514 44221048.93 -2.073775%
439 182138 201462.64 10.609888% 44975376 44019586.29 -2.125140%
433 183246 203323.72 10.956705% 44792130 43816262.57 -2.178658%
431 183534 203323.72 10.782593% 44608596 43612938.85 -2.231985%
421 186410 207187.36 11.146053% 44422186 43405751.49 -2.288124%
419 186348 207187.36 11.183033% 44235838 43198564.13 -2.344872%
409 189714 211239.92 11.346512% 44046124 42987324.21 -2.403843%
401 192806 214400.62 11.200180% 43853318 42772923.59 -2.463655%
397 193034 215480.72 11.628378% 43660284 42557442.86 -2.525960%
389 196000 218804.33 11.634864% 43464284 42338638.53 -2.589817%
383 197762 221089.50 11.795742% 43266522 42117549.03 -2.655570%
379 198424 222256.20 12.010742% 43068098 41895292.84 -2.723141%
373 200426 224639.64 12.081087% 42867672 41670653.20 -2.792358%
367 202090 227088.03 12.369750% 42665582 41443565.17 -2.864175%
359 205316 230883.37 12.452693% 42460266 41212681.80 -2.938239%
353 207574 233499.61 12.489817% 42252692 40979182.19 -3.014032%
349 208582 234837.72 12.587721% 42044110 40744344.47 -3.091433%
347 208368 234837.72 12.703352% 41835742 40509506.75 -3.170101%
337 212876 240412.50 12.935466% 41622866 40269094.24 -3.252471%
331 215056 243317.79 13.141596% 41407810 40025776.45 -3.337616%
317 223520 252528.56 12.978059% 41184290 39773247.89 -3.426166%
313 224554 254142.16 13.176411% 40959736 39519105.74 -3.517186%
311 223850 254142.16 13.532347% 40735886 39264963.58 -3.610876%
307 225860 255797.81 13.255029% 40510026 39009165.77 -3.704911%
293 234026 266274.17 13.779738% 40276000 38742891.60 -3.806506%
283 240984 273801.35 13.618063% 40035016 38469090.25 -3.911390%
281 240364 273801.35 13.911132% 39794652 38195288.89 -4.019040%
277 241892 275778.26 14.008838% 39552760 37919510.63 -4.129293%
271 245284 279848.79 14.091741% 39307476 37639661.84 -4.242995%
269 245260 279848.79 14.102906% 39062216 37359813.06 -4.358183%
263 249170 284105.04 14.020565% 38813046 37075708.02 -4.476170%
257 252068 288526.91 14.463919% 38560978 36787181.11 -4.599979%
251 256668 293124.95 14.203932% 38304310 36494056.16 -4.725980%
241 264898 302855.24 14.329001% 38039412 36191200.92 -4.858674%
239 264376 302855.24 14.554739% 37775036 35888345.68 -4.994543%
233 269244 308054.47 14.414609% 37505792 35580291.21 -5.133876%
229 271076 310744.90 14.633867% 37234716 35269546.31 -5.277789%
227 271448 310744.90 14.476770% 36963268 34958801.41 -5.422861%
223 273406 313531.85 14.676288% 36689862 34645269.56 -5.572636%
211 286848 328391.18 14.482646% 36403014 34316878.38 -5.730667%
199 301372 344893.25 14.441040% 36101642 33971985.13 -5.899058%
197 301072 344893.25 14.555073% 35800570 33627091.88 -6.071071%
193 305112 348467.27 14.209626% 35495458 33278624.60 -6.245400%
191 304584 348467.27 14.407610% 35190874 32930157.33 -6.424156%
181 318990 363869.14 14.069138% 34871884 32566288.19 -6.611618%
179 318500 363869.14 14.244628% 34553384 32202419.05 -6.803863%
173 326272 372282.30 14.101823% 34227112 31830136.75 -7.003148%
167 335604 381199.24 13.586025% 33891508 31448937.50 -7.207028%
163 339234 385876.53 13.749369% 33552274 31063060.97 -7.418910%
157 348800 395707.78 13.448332% 33203474 30667353.19 -7.638119%
151 358262 406190.11 13.377949% 32845212 30261163.08 -7.867353%
149 359460 406190.11 13.000086% 32485752 29854972.97 -8.098255%
139 381932 429567.96 12.472366% 32103820 29425405.01 -8.342979%
137 382987 429567.96 12.162542% 31720833 28995837.06 -8.590556%
131 395764 442684.54 11.855686% 31325069 28553152.52 -8.848876%
127 403214 449655.95 11.517940% 30921855 28103496.58 -9.114455%
113 451288 497407.02 10.219421% 30470567 27606089.56 -9.400801%
109 461788 506533.75 9.689674% 30008779 27099555.80 -9.694574%
107 463230 506533.75 9.348219% 29545549 26593022.05 -9.993136%
103 474868 516369.36 8.739557% 29070681 26076652.69 -10.299134%
101 477536 516369.36 8.132028% 28593145 25560283.33 -10.606954%
97 490870 527016.15 7.363691% 28102275 25033267.18 -10.920852%
89 530222 562545.33 6.096188% 27572053 24470721.85 -11.248097%
83 562334 589655.95 4.858669% 27009719 23881065.90 -11.583434%
79 581738 604583.95 3.927188% 26427981 23276481.95 -11.924857%
73 621750 637711.83 2.567243% 25806231 22638770.12 -12.274016%
71 627026 637711.83 1.704209% 25179205 22001058.29 -12.622109%
67 653312 656748.01 0.525937% 24525893 21344310.28 -12.972342%
61 707192 699813.45 -1.043359% 23818701 20644496.82 -13.326521%
59 715860 699813.45 -2.241576% 23102841 19944683.37 -13.669997%
53 784434 752629.56 -4.054444% 22318407 19192053.81 -14.007958%
47 868406 816683.14 -5.956069% 21450001 18375370.67 -14.333940%
43 924434 854668.40 -7.546845% 20525567 17520702.27 -14.639619%
41 938798 854668.40 -8.961416% 19586769 16666033.86 -14.911776%
37 1009590 900866.70 -10.769055% 18577179 15765167.17 -15.136915%
31 1166204 1017107.56 -12.784765% 17410975 14748059.61 -15.294464%
29 1186968 1017107.56 -14.310448% 16224007 13730952.05 -15.366456%
23 1427230 1193995.83 -16.341737% 14796777 12536956.22 -15.272385%
19 1607976 1319679.60 -17.929148% 13188801 11217276.62 -14.948473%
17 1630416 1319679.60 -19.058719% 11558385 9897597.02 -14.368685%
13 1897884 1522707.23 -19.768161% 9660501 8374889.78 -13.307915%
11 1897448 1522707.23 -19.749725% 7763053 6852182.55 -11.733405%
7 2386628 1957766.44 -17.969351% 5376425 4894416.11 -8.965230%
5 1280371 978883.22 -23.546908% 4096054 3915532.89 -4.407196%
3 2819548 2610355.26 -7.419372% 1276506 1305177.63 2.246102%
2 693944 652588.81 -5.959441% 582562 652588.81 12.020491%
