p diff est_diff error1 size est_size error2
1613 78724 80289.69 1.988830% 64560190 64673342.41 0.175267%
1609 78860 80389.49 1.939497% 64481330 64592952.92 0.173109%
1607 78808 80389.49 2.006760% 64402522 64512563.43 0.170865%
1601 78922 80590.34 2.113904% 64323600 64431973.10 0.168481%
1597 79132 80691.26 1.970458% 64244468 64351281.83 0.166262%
1583 79728 81302.95 1.975399% 64164740 64269978.89 0.164014%
1579 79894 81405.93 1.892415% 64084846 64188572.96 0.161859%
1571 80094 81716.83 2.026162% 64004752 64106856.13 0.159526%
1567 79912 81821.13 2.389042% 63924840 64025035.00 0.156739%
1559 80342 82136.03 2.232991% 63844498 63942898.97 0.154126%
1553 80618 82347.58 2.145407% 63763880 63860551.38 0.151608%
1549 80806 82453.91 2.039338% 63683074 63778097.48 0.149213%
1543 80988 82667.66 2.073958% 63602086 63695429.82 0.146762%
1531 81530 83207.62 2.057667% 63520556 63612222.20 0.144310%
1523 81790 83535.42 2.134026% 63438766 63528686.78 0.141744%
1511 82198 84088.27 2.299653% 63356568 63444598.52 0.138945%
1499 82784 84649.23 2.253130% 63273784 63359949.28 0.136178%
1493 83066 84876.02 2.179015% 63190718 63275073.26 0.133493%
1489 83166 84990.02 2.193233% 63107552 63190083.24 0.130779%
1487 83030 84990.02 2.360622% 63024522 63105093.22 0.127841%
1483 83310 85104.64 2.154175% 62941212 63019988.57 0.125159%
1481 83278 85104.64 2.193429% 62857934 62934883.93 0.122419%
1471 83540 85567.48 2.426961% 62774394 62849316.44 0.119352%
1459 84084 86153.96 2.461781% 62690310 62763162.48 0.116210%
1453 84388 86391.14 2.373725% 62605922 62676771.34 0.113167%
1451 84286 86391.14 2.497614% 62521636 62590380.20 0.109953%
1447 84262 86510.55 2.668518% 62437374 62503869.66 0.106500%
1439 84908 86871.26 2.312217% 62352466 62416998.40 0.103496%
1433 84742 87113.75 2.798784% 62267724 62329884.65 0.099828%
1429 85156 87235.67 2.442186% 62182568 62242648.99 0.096620%
1427 85032 87235.67 2.591575% 62097536 62155413.32 0.093204%
1423 85078 87358.28 2.680218% 62012458 62068055.04 0.089655%
1409 86052 88102.28 2.382604% 61926406 61979952.76 0.086468%
1399 86344 88606.08 2.619846% 61840062 61891346.68 0.082931%
1381 87390 89632.65 2.566258% 61752672 61801714.03 0.079417%
1373 87642 90024.35 2.718271% 61665030 61711689.69 0.075666%
1367 87888 90287.77 2.730485% 61577142 61621401.92 0.071877%
1361 88226 90553.13 2.637687% 61488916 61530848.79 0.068196%
1327 90432 92736.77 2.548625% 61398484 61438112.02 0.064542%
1321 90764 93017.58 2.482901% 61307720 61345094.44 0.060962%
1319 90772 93017.58 2.473869% 61216948 61252076.86 0.057384%
1307 91094 93729.27 2.892911% 61125854 61158347.59 0.053159%
1303 91422 93873.14 2.681122% 61034432 61064474.45 0.049222%
1301 91128 93873.14 3.012395% 60943304 60970601.32 0.044791%
1297 91448 94017.89 2.810219% 60851856 60876583.43 0.040635%
1291 91618 94309.19 2.937405% 60760238 60782274.24 0.036268%
1289 91586 94309.19 2.973371% 60668652 60687965.05 0.031834%
1283 91866 94603.22 2.979578% 60576786 60593361.83 0.027363%
1279 91982 94751.15 3.010537% 60484804 60498610.67 0.022827%
1277 91910 94751.15 3.091233% 60392894 60403859.52 0.018157%
1259 93038 95955.30 3.135597% 60299856 60307904.22 0.013347%
1249 93722 96569.90 3.038670% 60206134 60211334.32 0.008638%
1237 94242 97350.58 3.298509% 60111892 60113983.74 0.003480%
1231 94776 97666.91 3.050256% 60017116 60016316.83 -0.001332%
1229 94730 97666.91 3.100297% 59922386 59918649.92 -0.006235%
1223 94920 97986.34 3.230452% 59827466 59820663.57 -0.011370%
1217 95228 98308.40 3.234767% 59732238 59722355.17 -0.016545%
1213 95470 98470.49 3.142867% 59636768 59623884.68 -0.021603%
1201 96132 99290.40 3.285482% 59540636 59524594.28 -0.026942%
1193 96636 99789.76 3.263550% 59444000 59424804.51 -0.032292%
1187 96882 100126.04 3.348444% 59347118 59324678.47 -0.037811%
1181 97022 100465.16 3.548847% 59250096 59224213.31 -0.043684%
1171 97776 101151.52 3.452296% 59152320 59123061.79 -0.049462%
